month,centroid_lon,centroid_lat,area_km2
2025-03,30.69803,-1.31014,2.31
2025-05,29.03669,1.15326,26.64
2025-06,30.35418,1.04521,13.97
2025-07,30.22971,0.8733,8.11
2025-08,30.68268,-1.55097,37.55
2025-09,30.30546,-4.04665,3427.55
2025-10,30.58758,-1.12049,10.88
2025-11,30.40038,-0.0499,11.36
2025-12,30.38858,0.01752,10.19
2026-01,30.35163,0.94391,9.23
2026-02,30.29251,-2.91293,108.55
